model,beta,Bias0,beta_minus_Bias0,ci_lo,ci_hi,n_items,supported
Synth-L,0.19375,0.04638888888888889,0.14736111111111108,0.1304159722222222,0.1639173611111111,60,True
Synth-D,0.18686111111111112,0.04727777777777777,0.1395833333333333,0.12411111111111112,0.15594513888888886,60,True
Synth-A,0.17858333333333334,0.05988888888888888,0.11869444444444445,0.10388888888888888,0.13355555555555557,60,True
Synth-C,0.16541666666666668,0.059944444444444446,0.10547222222222223,0.09372222222222223,0.11741736111111113,60,True
Synth-B,0.11074999999999999,0.02155555555555555,0.08919444444444445,0.07347222222222222,0.10533333333333333,60,True
