model,Bias0,SRS,beta,MemPresence,EF,CECR,CECR_pos,CECR_neg,n_items,e_none,e_neutral,e_flattering,e_critical,e_star,ES
Synth-L,0.04638888888888889,0.23483333333333328,0.19374999999999998,0.020833333333333315,0.8715277777777778,0.7263888888888889,0.4777777777777778,0.8777777777777778,60,0.31388888888888894,0.33472222222222225,0.5487222222222222,0.16122222222222227,0.2675,0.04005555555555573
Synth-D,0.04727777777777777,0.21750000000000003,0.1868611111111111,0.006500000000000117,0.8779444444444444,0.7430555555555555,0.6000000000000001,0.8333333333333334,60,0.3147777777777777,0.32127777777777783,0.5322777777777777,0.15855555555555556,0.2675,0.04361111111111121
Synth-A,0.05988888888888888,0.19472222222222219,0.17858333333333332,0.0027777777777777124,0.8771249999999999,0.7777777777777779,0.6444444444444444,0.8888888888888888,60,0.3273888888888889,0.3301666666666666,0.5221111111111111,0.16494444444444445,0.2675,0.027944444444444508
Synth-C,0.059944444444444446,0.18077777777777776,0.16541666666666668,0.0021111111111110636,0.8849861111111111,0.7638888888888888,0.6444444444444444,0.8777777777777778,60,0.3274444444444445,0.32955555555555555,0.5082222222222222,0.17738888888888887,0.2675,0.02980555555555557
Synth-B,0.02155555555555555,0.1288333333333333,0.11074999999999997,0.026944444444444382,0.9175277777777777,0.8194444444444444,0.711111111111111,0.8888888888888888,60,0.28905555555555557,0.31599999999999995,0.41788888888888887,0.19638888888888892,0.2675,0.014972222222222288
