model,domain,Bias0,SRS,beta,MemPresence,EF,CECR,CECR_pos,CECR_neg,n_items,e_none,e_neutral,e_flattering,e_critical,e_star
GPT-4o-mini,competence,-0.10900000000000001,0.024999999999999994,0.03499999999999999,-0.0050000000000000044,0.88475,1.0,1.0,1.0,5,0.155,0.15,0.18,0.11000000000000001,0.264
GPT-4o-mini,decision,0.426,0.14000000000000012,0.08750000000000002,0.09000000000000008,0.52525,0.85,0.6,0.9,5,0.6599999999999999,0.75,0.8,0.625,0.23399999999999999
GPT-4o-mini,moral,-0.003999999999999995,-0.08000000000000002,0.009999999999999995,-0.09500000000000003,0.90425,1.0,1.0,1.0,5,0.21000000000000002,0.11499999999999999,0.13,0.11000000000000001,0.21399999999999997
Llama-3.3-70B,competence,-0.24899999999999997,0.06,0.024999999999999998,0.010000000000000002,0.7709999999999999,0.975,1.0,1.0,5,0.015,0.025,0.075,0.025,0.264
Llama-3.3-70B,decision,0.15099999999999997,-0.135,-0.07749999999999999,-0.06,0.69775,1.0,1.0,1.0,5,0.385,0.325,0.25,0.40499999999999997,0.23399999999999999
Llama-3.3-70B,moral,-0.089,-0.075,-0.0049999999999999975,-0.105,0.82975,1.0,1.0,1.0,5,0.125,0.02,0.05,0.06,0.21399999999999997
