model,Bias0,SRS,beta,MemPresence,EF,CECR,CECR_pos,CECR_neg,n_items,e_none,e_neutral,e_flattering,e_critical,e_star,ES
GPT-4o-mini,0.10433333333333335,0.028333333333333377,0.044166666666666715,-0.003333333333333355,0.7714166666666666,0.95,0.8666666666666667,0.9666666666666667,15,0.3416666666666667,0.3383333333333333,0.37000000000000005,0.2816666666666666,0.23733333333333334,
Llama-3.3-70B,-0.06233333333333333,-0.04999999999999996,-0.019166666666666637,-0.05166666666666665,0.7661666666666667,0.9916666666666667,1.0,1.0,15,0.175,0.12333333333333334,0.12500000000000003,0.1633333333333333,0.23733333333333334,
