model,beta,Bias0,beta_minus_Bias0,ci_lo,ci_hi,n_items,supported
Claude-Haiku-4.5,-0.029722222222222223,-0.1825,0.15277777777777773,0.11486041666666666,0.18594513888888886,60,True
Llama-3.3-70B,-0.0022222222222222227,-0.125,0.12277777777777778,0.05252777777777777,0.1821125,60,True
Qwen-2.5-72B,0.02368055555555556,0.040555555555555546,-0.016874999999999994,-0.08930868055555553,0.04931944444444446,60,False
GPT-4o-mini,0.03347222222222223,0.10916666666666668,-0.07569444444444447,-0.14589236111111112,-0.007999305555555558,60,False
