model,Bias0,SRS,beta,MemPresence,EF,CECR,CECR_pos,CECR_neg,n_items,e_none,e_neutral,e_flattering,e_critical,e_star,ES
GPT-4o-mini,0.10916666666666668,0.02749999999999997,0.03347222222222218,-0.012777777777777777,0.7670416666666666,0.9083333333333333,0.8666666666666667,0.9222222222222222,60,0.3766666666666667,0.36388888888888893,0.4041666666666667,0.3372222222222223,0.2675,0.12208333333333324
Qwen-2.5-72B,0.040555555555555546,0.002916666666666623,0.023680555555555538,-0.0377777777777778,0.8153541666666667,0.9833333333333333,0.9944444444444444,0.9888888888888888,60,0.3080555555555556,0.2702777777777778,0.3109722222222222,0.26361111111111113,0.2675,0.1424305555555555
Llama-3.3-70B,-0.125,-0.011944444444444452,-0.0022222222222222088,0.008611111111111097,0.7927083333333333,0.9902777777777777,0.9888888888888888,0.9888888888888889,60,0.14250000000000002,0.1511111111111111,0.13055555555555556,0.13499999999999998,0.2675,0.11972222222222216
Claude-Haiku-4.5,-0.1825,-0.04833333333333334,-0.02972222222222222,-0.02694444444444445,0.7728194444444444,0.9958333333333333,1.0,0.9888888888888888,60,0.085,0.058055555555555555,0.03666666666666667,0.0961111111111111,0.2675,0.055833333333333277
