model,max_domain,min_domain,spread,ci_lo,ci_hi,SRS_competence,SRS_decision,SRS_moral
Claude-Haiku-4.5,decision,competence,0.065,0.023333333333333327,0.10752083333333304,-0.07583333333333334,-0.010833333333333334,-0.058333333333333334
GPT-4o-mini,decision,moral,0.14666666666666667,0.03333333333333335,0.26249999999999996,0.060833333333333336,0.08416666666666665,-0.06250000000000001
Llama-3.3-70B,competence,moral,0.020833333333333336,-0.05583333333333333,0.10083333333333333,-0.002499999999999998,-0.009999999999999995,-0.023333333333333334
Qwen-2.5-72B,competence,decision,0.06291666666666665,-0.03334375000000002,0.17166666666666666,0.02833333333333332,-0.03458333333333333,0.014999999999999994
